"play_uuid","game_id","hit_player","hit"
"7daaaef7-e6c6-4c9c-8e8f-ef8acf81410e",1502168,"Andrew Van Ginkel",1
"96320c29-36f7-4c75-9da3-cb0f85cf98d8",1502169,"Al-Quadin Muhammad",1
"b4e1aa21-f03c-4c0f-bdeb-34ed1d922cf1",1502170,"Samson Ebukam",1
"3c8ebb98-c60d-4a1e-8a49-791edb1d16e6",1502171,"Ross Blacklock",1
"1db307d0-2711-4643-be94-b846448bcbfd",1502171,"Demarcus Walker",1
"f82ecc78-5b95-45da-b365-4d90d9c4eacc",1502171,"Elijah Molden",1
"5ea03618-b81d-4964-89aa-023385a70e9c",1502173,"Javon Hargrave",1
"a29bfa3d-ac15-4c58-8913-849305dc290e",1502173,"Lorenzo Carter",1
"235288cc-4b3f-4116-84a6-d4894b5573ee",1502174,"Jaelan Phillips",1
"235288cc-4b3f-4116-84a6-d4894b5573ee",1502174,"Emmanuel Ogbah",1
"3b041466-4b36-46a8-b2e5-6c9d6e62a17e",1502174,"Andrew Van Ginkel",1
"37e2255c-15ac-49a5-978d-b945c651c22d",1502175,"John Simon",1
"5b1541cd-4dce-4241-b6f7-8c82f6c10ece",1502177,"Dante Fowler Jr.",1
"a64b2e5e-cec8-4378-bd23-8f31bb2c2689",1502177,"Dante Fowler Jr.",1
"5e878dc9-4119-4ef5-a58b-e8051b5bdc8a",1502178,"Joey Bosa",1
"a9432817-de6f-4b2a-bf79-9d76518fbe3f",1502178,"Derwin James Jr.",1
"13b8366d-d6be-4a35-90a9-7b9b0b8125db",1502178,"Dre'Mont Jones",1
"d8ec55c1-6ad6-4338-8467-55968a164fda",1502178,"Bradley Chubb",1
"9beecd76-3968-48e7-8748-b194d5d434c7",1502178,"Joey Bosa",1
"d8e016cc-895c-4d3d-8b58-6f63bffebdb6",1502179,"Greg Gaines",1
"bd1fafed-3493-4036-8b62-3b55623f355a",1502179,"Von Miller",1
"49d04e63-4d80-40ae-86bf-93952d7168cc",1502179,"Preston Smith",1
"e8987a04-a5d4-465e-9111-291e647dd189",1502181,"Armon Watts",1
"f668c2b0-8739-48df-8dbf-9c4214c05336",1502182,"Matt Ioannidis",1
