player_name,role,weighted_severity_logit_score,coefficient_source
Arden Key,Rusher,0.1580477736573828,lambda.min
Emmanuel Ogbah,Rusher,0.15301922261489576,lambda.min
P.J. Williams,Rusher,0.1500308114708848,lambda.min
Jessie Lemonier,Rusher,0.1488888813763965,lambda.min
Quincy Roche,Rusher,0.14825527829415364,lambda.min
Terence Steele,Blocker,0.14810807256992137,lambda.min
Rodger Saffold,Blocker,0.1478054887798506,lambda.min
Aaron Donald,Rusher,0.1453201388412973,lambda.min
Lucas Patrick,Blocker,0.14289508115433297,lambda.min
Brandon Scherff,Blocker,0.14257985132106443,lambda.min
Kelvin Beachum,Blocker,0.14064553635988017,lambda.min
Justin Herron,Blocker,0.13912203995863898,lambda.min
Alex Cappa,Blocker,0.1376127788359201,lambda.min
Phil Hoskins,Rusher,0.13751128413057914,lambda.min
Jon Runyan,Blocker,0.13677480644551027,lambda.min
Derick Roberson,Rusher,0.13496420849305496,lambda.min
Olisaemeka Udoh,Blocker,0.13439199548298458,lambda.min
Danielle Hunter,Rusher,0.13243589589017088,lambda.min
Garrett Bradbury,Blocker,0.13216029305392676,lambda.min
Chris Wormley,Rusher,0.12852135586079932,lambda.min
DeMarcus Lawrence,Rusher,0.12818109985142867,lambda.min
Sam Mustipher,Blocker,0.12710089947914402,lambda.min
Jordan Phillips,Rusher,0.1261681010694067,lambda.min
Evan Brown,Blocker,0.12573577420704468,lambda.min
Brandon Linder,Blocker,0.12545961640837405,lambda.min
Bradley Bozeman,Blocker,0.12497010824182903,lambda.min
Robert Hunt,Blocker,0.12491929385371968,lambda.min
Trevis Gipson,Rusher,0.12424199347047686,lambda.min
Haason Reddick,Rusher,0.12299093276704733,lambda.min
Azeez Ojulari,Rusher,0.12266153591314671,lambda.min
Greg Rousseau,Rusher,0.1224017353124963,lambda.min
Justin Houston,Rusher,0.12012903161860707,lambda.min
Dorance Armstrong,Rusher,0.12004411667829643,lambda.min
Nate Davis,Blocker,0.11959782016347714,lambda.min
Malcolm Koonce,Rusher,0.11879015240903859,lambda.min
Denico Autry,Rusher,0.11776822643879097,lambda.min
Mario Edwards Jr.,Rusher,0.11775604480954176,lambda.min
Austin Jackson,Blocker,0.11746523632273909,lambda.min
Lane Taylor,Blocker,0.11740103965232537,lambda.min
Al-Quadin Muhammad,Rusher,0.11721354384539041,lambda.min
Kyler Fackrell,Rusher,0.11671281983172724,lambda.min
Ali Marpet,Blocker,0.11542979446426621,lambda.min
Braden Smith,Blocker,0.11481232604352724,lambda.min
Odafe Oweh,Rusher,0.11288882992935613,lambda.min
Shaquil Barrett,Rusher,0.11258014125149648,lambda.min
Tyus Bowser,Rusher,0.11175460725896809,lambda.min
Sam Hubbard,Rusher,0.11073602812787157,lambda.min
Josh Mauro,Rusher,0.1099893669126673,lambda.min
Kolton Miller,Blocker,0.10853083839989616,lambda.min
Oday Aboushi,Blocker,0.10778026104730937,lambda.min
Jacob Tuioti-Mariner,Rusher,0.10564678595259223,lambda.min
Leonard Williams,Rusher,0.10446257294731112,lambda.min
Terrell Lewis,Rusher,0.10309828778244522,lambda.min
Lorenzo Carter,Rusher,0.1021339438188243,lambda.min
Riley Reiff,Blocker,0.1019153353922741,lambda.min
A.J. Epenesa,Rusher,0.10185889782752598,lambda.min
Alim Mcneill,Rusher,0.10082248056338572,lambda.min
Laremy Tunsil,Blocker,0.10019014619008607,lambda.min
Alex Highsmith,Rusher,0.10013483220518243,lambda.min
Joel Bitonio,Blocker,0.099328123950695,lambda.min
Ryan Ramczyk,Blocker,0.09802703568428715,lambda.min
Justin Hollins,Rusher,0.09642796468646384,lambda.min
Maxx Crosby,Rusher,0.09641337910245698,lambda.min
Tarell Basham,Rusher,0.09580615930064662,lambda.min
Yosh Nijman,Blocker,0.09571637945890915,lambda.min
Malik Reed,Rusher,0.09474115809355424,lambda.min
Rob Havenstein,Blocker,0.09361960809050707,lambda.min
Kwon Alexander,Rusher,0.09338216994934413,lambda.min
Frank Ragnow,Blocker,0.09295518351854168,lambda.min
Rashod Hill,Blocker,0.09164508742196212,lambda.min
Danny Pinter,Blocker,0.09081791398337392,lambda.min
Matt Hennessy,Blocker,0.09042352098943428,lambda.min
J.C. Tretter,Blocker,0.08993505487653392,lambda.min
Lane Johnson,Blocker,0.08899364659655869,lambda.min
Wyatt Teller,Blocker,0.08855107592331345,lambda.min
Whitney Mercilus,Rusher,0.0867800935839707,lambda.min
Jordan Mills,Blocker,0.08566305629257397,lambda.min
Michael Schofield III,Blocker,0.0844606143832112,lambda.min
Justin Pugh,Blocker,0.08379373575938394,lambda.min
Max Garcia,Blocker,0.08352954323083508,lambda.min
Pat Elflein,Blocker,0.08325740052512848,lambda.min
Christian Covington,Rusher,0.08203076092890728,lambda.min
Laken Tomlinson,Blocker,0.08114343638948075,lambda.min
Brian Burns,Rusher,0.08053342072897358,lambda.min
John Leglue,Blocker,0.08035726555088057,lambda.min
Boogie Basham,Rusher,0.07953006445091487,lambda.min
Garett Bolles,Blocker,0.07944241608212284,lambda.min
Erik McCoy,Blocker,0.0769607967332665,lambda.min
