class,term,coef
loss,rusher::Kristian Welch,-0.001531632586971743
loss,rusher::Krys Barnes,0.1633902718392475
loss,rusher::Kwity Paye,0.002538673843946437
loss,rusher::Kwon Alexander,-0.11080547574260588
loss,rusher::Kyle Peko,-0.09584995971514075
loss,rusher::Kyle Phillips,0.10193542327441753
loss,rusher::Kyle Van Noy,-0.03661715943472206
loss,rusher::Kyler Fackrell,0.08506819264968996
loss,rusher::Kylie Fitts,0.10143115064998211
loss,rusher::Kyzir White,0.04926884103459531
loss,rusher::L.J. Collier,0.0038139254640532656
loss,rusher::La'Darius Hamilton,-0.027925803824325662
loss,rusher::Ladarius Hamilton,0.06156141166928589
loss,rusher::Larrell Murchison,-0.04872068770787945
loss,rusher::Larry Ogunjobi,-0.17734006967802418
loss,rusher::Lavonte David,0.05382144644163203
loss,rusher::Lawrence Guy,-0.13574373183443575
loss,rusher::Ledarius Mack,0.04787101314608579
loss,rusher::Leighton Vander Esch,0.0974296913998764
loss,rusher::Leki Fotu,0.12505604033775247
loss,rusher::Leonard Floyd,0.05894095718134899
loss,rusher::Leonard Williams,-0.06890989188948891
loss,rusher::Lerentee Mccray,0.1811386462710895
loss,rusher::Levi Onwuzurike,0.09066413208029445
loss,rusher::Linval Joseph,0.08881538641196905
loss,rusher::Logan Wilson,-0.006517577774934151
loss,rusher::Lorenzo Carter,0.1618529418082884
loss,rusher::Luke Gifford,0.05027260049441012
loss,rusher::Mack Wilson Sr.,0.0532534336193214
loss,rusher::Malcolm Koonce,0.11366294690127318
loss,rusher::Malcolm Roach,9.349714407585859e-4
loss,rusher::Malcolm Smith,-0.03913196327910577
loss,rusher::Malcom Brown,-0.14122115337679375
loss,rusher::Maliek Collins,0.03326214694982359
loss,rusher::Malik Harrison,-0.0640964116258581
loss,rusher::Malik Jackson,0.2528705376571425
loss,rusher::Malik Mcdowell,-0.10331829579515375
loss,rusher::Malik Reed,0.17384949114578535
loss,rusher::Marcell Harris,0.22901659227824517
loss,rusher::Marcus Allen,0.05525823794780665
loss,rusher::Marcus Davenport,-0.28922212275564924
loss,rusher::Margus Hunt,0.09995866156641899
loss,rusher::Mario Addison,-0.24223833612066495
loss,rusher::Mario Edwards Jr.,-0.14613016453088143
loss,rusher::Markus Bailey,0.08712964990963339
loss,rusher::Markus Golden,-0.10397762179112806
loss,rusher::Marlon Davidson,0.18906747036527158
loss,rusher::Marlon Tuipulotu,0.21387285366362283
loss,rusher::Marquel Lee,0.08900211546668016
loss,rusher::Marquis Haynes Sr.,-0.06389201175184109
loss,rusher::Marquise Copeland,0.14618008818665798
loss,rusher::Marquiss Spencer,0.09431606202928784
loss,rusher::Marvin Wilson,0.018458162427254104
loss,rusher::Matt Ioannidis,-0.03006671760979928
loss,rusher::Matt Milano,-0.1305276672099644
loss,rusher::Matthew Judon,-0.16255984431282822
loss,rusher::Maurice Hurst,-0.2513035101960455
loss,rusher::Maxx Crosby,-0.21832871239150525
loss,rusher::Mctelvin Agim,-0.06146110735812696
loss,rusher::Melvin Ingram,0.20726423659662274
loss,rusher::Micah Kiser,-0.17820454219068152
loss,rusher::Micah Parsons,-0.3425092434180167
loss,rusher::Michael Brockers,0.17173222613132036
loss,rusher::Michael Dogbe,0.021170019008206194
loss,rusher::Michael Dwumfour,-0.2160457781513216
loss,rusher::Michael Hoecht,0.09985522408247184
loss,rusher::Michael Pierce,-0.004894713838956901
loss,rusher::Mike Daniels,-0.07419101324628001
loss,rusher::Mike Danna,0.22532853453771448
loss,rusher::Mike Pennel,-0.12788857413871213
loss,rusher::Mike Purcell,0.02727841008751073
loss,rusher::Milton Williams,-0.1846244120508774
loss,rusher::Montez Sweat,-0.135008960395116
loss,rusher::Montravius Adams,-0.019833597946901746
loss,rusher::Monty Rice,-0.07975435951036212
loss,rusher::Morgan Fox,0.06626024282654384
loss,rusher::Mykal Walker,0.13750006156379718
loss,rusher::Myles Adams,-0.06758860760590699
loss,rusher::Myles Garrett,-0.3872887539708268
loss,rusher::Myles Jack,-0.050450368853661345
loss,rusher::Naquan Jones,0.1683195624597495
loss,rusher::Nate Orchard,0.022345634179147332
loss,rusher::Nathan Landman,0.055834897089463
loss,rusher::Nathan Shepherd,-0.03043623754647643
loss,rusher::Ndamukong Suh,-0.05820457749509793
loss,rusher::Neville Gallimore,0.029066757455786855
loss,rusher::Neville Hewitt,0.04948360183613962
loss,rusher::Nick Bolton,-0.15752632716312437
loss,rusher::Nick Bosa,-0.27721398611140047
loss,rusher::Nick Dzubnar,0.08821982292998205
loss,rusher::Nick Kwiatkoski,-0.01938202755055295
loss,rusher::Nick Niemann,0.10038176597346296
loss,rusher::Nick Thurman,0.03821721441090538
loss,rusher::Nick Vigil,0.03948931280722805
loss,rusher::Nick Williams,0.2216665499601711
loss,rusher::Noah Dawkins,-0.05247235231621812
loss,rusher::Noah Spence,-0.0858033309632786
loss,rusher::Odafe Oweh,-0.1268464879592742
loss,rusher::Ogbonnia Okoronkwo,0.09048083220788095
loss,rusher::Ola Adeniyi,0.09955902725291231
loss,rusher::Oren Burks,0.0827696664372893
loss,rusher::Osa Odighizuwa,0.07447393202863437
loss,rusher::Oshane Ximines,0.33492296139226013
loss,rusher::Otito Ogbonnia,0.05616963705882801
loss,rusher::P.J. Williams,-0.10099211339702305
loss,rusher::Patrick Johnson,-0.010968693999500578
loss,rusher::Patrick Jones II,0.0615438920772991
loss,rusher::Patrick O'Connor,-0.15846254929962297
loss,rusher::Patrick Queen,-0.2094443548566252
loss,rusher::Payton Turner,0.11995659258918188
loss,rusher::Pernell Mcphee,0.2574526682339715
loss,rusher::Pete Werner,-0.09945939305885279
loss,rusher::Phil Hoskins,-0.14153941996521485
loss,rusher::Pita Taumoepenu,0.024769299320832206
loss,rusher::Poona Ford,0.06717166540133024
